work_year,experience_level,employment_type,job_title,salary,salary_in_usd
2023,SE,FT,Principal Data Scientist,80000,85847
2023,MI,CT,ML Engineer,30000,30000
2023,MI,CT,ML Engineer,25500,25500
2023,SE,FT,Data Scientist,175000,175000
2023,SE,FT,Data Scientist,120000,120000
2023,SE,FT,Applied Scientist,222200,222200
2023,SE,FT,Applied Scientist,136000,136000
2023,SE,FT,Data Scientist,219000,219000
2023,SE,FT,Data Scientist,141000,141000
2023,SE,FT,Data Scientist,147100,147100
2023,SE,FT,Data Scientist,90700,90700
2023,SE,FT,Data Analyst,130000,130000
2023,SE,FT,Data Analyst,100000,100000
2023,EN,FT,Applied Scientist,213660,213660
2023,EN,FT,Applied Scientist,130760,130760
2023,SE,FT,Data Modeler,147100,147100
2023,SE,FT,Data Modeler,90700,90700
2023,SE,FT,Data Scientist,170000,170000
2023,SE,FT,Data Scientist,150000,150000
2023,MI,FT,Data Analyst,150000,150000
2023,MI,FT,Data Analyst,110000,110000
2023,SE,FT,Research Engineer,275000,275000
2023,SE,FT,Research Engineer,174000,174000
2023,SE,FT,Analytics Engineer,230000,230000
2023,SE,FT,Analytics Engineer,143200,143200
2023,SE,FT,Business Intelligence Engineer,225000,225000
2023,SE,FT,Business Intelligence Engineer,156400,156400
2023,SE,FT,Machine Learning Engineer,200000,200000
2023,SE,FT,Machine Learning Engineer,130000,130000
2023,SE,FT,Data Strategist,90000,90000
2023,SE,FT,Data Strategist,72000,72000
2023,SE,FT,Data Engineer,253200,253200
2023,SE,FT,Data Engineer,90700,90700
2023,SE,FT,Computer Vision Engineer,342810,342810
2023,SE,FT,Computer Vision Engineer,184590,184590
2023,MI,FT,Data Engineer,162500,162500
2023,MI,FT,Data Engineer,130000,130000
2023,MI,FT,Data Analyst,105380,105380
2023,MI,FT,Data Analyst,64500,64500
2023,EN,FT,Data Quality Analyst,100000,100000
2023,EN,FT,Compliance Data Analyst,30000,30000
2022,MI,FT,Machine Learning Engineer,1650000,20984
2023,EN,FT,Applied Scientist,204620,204620
2023,EN,FT,Applied Scientist,110680,110680
2023,SE,FT,Data Engineer,270703,270703
2023,SE,FT,Data Engineer,221484,221484
2023,SE,FT,Data Scientist,212750,212750
2023,SE,FT,Data Scientist,185000,185000
2023,SE,FT,Data Scientist,262000,262000
2023,SE,FT,Data Scientist,245000,245000
2023,SE,FT,Data Scientist,275300,275300
2023,SE,FT,Data Scientist,183500,183500
2023,SE,FT,Data Scientist,218500,218500
2023,SE,FT,Data Scientist,199098,199098
2023,SE,FT,Data Engineer,203300,203300
2023,SE,FT,Data Engineer,123600,123600
2023,SE,FT,Research Engineer,189110,189110
2023,SE,FT,Research Engineer,139000,139000
2023,EX,FT,Data Scientist,258750,258750
2023,EX,FT,Data Scientist,185000,185000
2023,SE,FT,Data Engineer,231500,231500
2023,SE,FT,Data Engineer,166000,166000
2023,SE,FT,Data Scientist,172500,172500
2023,SE,FT,Data Scientist,110500,110500
2023,SE,FT,Data Engineer,238000,238000
2023,SE,FT,Data Engineer,176000,176000
2023,SE,FT,Data Engineer,237000,237000
2023,SE,FT,Data Engineer,201450,201450
2023,SE,FT,Applied Scientist,309400,309400
2023,SE,FT,Applied Scientist,159100,159100
2023,SE,FT,Data Engineer,115000,115000
2023,SE,FT,Data Engineer,81500,81500
2023,SE,FT,Data Scientist,237000,237000
2023,SE,FT,Data Scientist,201450,201450
2023,SE,FT,Computer Vision Engineer,280000,280000
2023,SE,FT,Computer Vision Engineer,210000,210000
2023,SE,FT,Data Architect,280100,280100
2023,SE,FT,Data Architect,168100,168100
2023,SE,FT,Data Engineer,193500,193500
2023,SE,FT,Data Engineer,139000,139000
2023,MI,FT,Data Scientist,510000,65062
2023,SE,FT,Machine Learning Engineer,150000,150000
