work_year,experience_level,employment_type,job_title,salary,salary_in_usd
2023,SE,FT,Data Scientist,175000,175000
2023,SE,FT,Data Scientist,120000,120000
2023,SE,FT,Data Scientist,219000,219000
2023,SE,FT,Data Scientist,141000,141000
2023,SE,FT,Data Scientist,147100,147100
2023,SE,FT,Data Scientist,90700,90700
2023,SE,FT,Data Scientist,170000,170000
2023,SE,FT,Data Scientist,150000,150000
2023,SE,FT,Data Scientist,212750,212750
2023,SE,FT,Data Scientist,185000,185000
2023,SE,FT,Data Scientist,262000,262000
2023,SE,FT,Data Scientist,245000,245000
2023,SE,FT,Data Scientist,275300,275300
2023,SE,FT,Data Scientist,183500,183500
2023,SE,FT,Data Scientist,218500,218500
2023,SE,FT,Data Scientist,199098,199098
2023,EX,FT,Data Scientist,258750,258750
2023,EX,FT,Data Scientist,185000,185000
2023,SE,FT,Data Scientist,172500,172500
2023,SE,FT,Data Scientist,110500,110500
2023,SE,FT,Data Scientist,237000,237000
2023,SE,FT,Data Scientist,201450,201450
2023,MI,FT,Data Scientist,510000,65062
2023,SE,FT,Data Scientist,45000,48289
2023,SE,FT,Data Scientist,36000,38631
2023,SE,FT,Data Scientist,105000,105000
2023,SE,FT,Data Scientist,70000,70000
2023,SE,FT,Data Scientist,150000,150000
2023,SE,FT,Data Scientist,120000,120000
2023,SE,FT,Data Scientist,138784,138784
2023,SE,FT,Data Scientist,83270,83270
2023,SE,FT,Data Scientist,195000,195000
2023,SE,FT,Data Scientist,160000,160000
2023,MI,FT,Data Scientist,55000,66837
2023,MI,FT,Data Scientist,45000,54685
2023,SE,FT,Data Scientist,228000,228000
2023,SE,FT,Data Scientist,186000,186000
2023,SE,FT,Data Scientist,190000,190000
2023,SE,FT,Data Scientist,170000,170000
2023,SE,FT,Data Scientist,224000,224000
2023,SE,FT,Data Scientist,176000,176000
2023,SE,FT,Data Scientist,250000,250000
2023,SE,FT,Data Scientist,162500,162500
2023,SE,FT,Data Scientist,203500,203500
2023,SE,FT,Data Scientist,152000,152000
2023,SE,FT,Data Scientist,239000,239000
2023,SE,FT,Data Scientist,122900,122900
2023,SE,FT,Data Scientist,237000,237000
2023,SE,FT,Data Scientist,145000,145000
2022,SE,FT,Data Scientist,84000,88256
2023,SE,FT,Data Scientist,175000,175000
2023,SE,FT,Data Scientist,145000,145000
2023,SE,FT,Data Scientist,45000,48289
2023,SE,FT,Data Scientist,36000,38631
2023,SE,FT,Data Scientist,195000,195000
2023,SE,FT,Data Scientist,160000,160000
2023,SE,FT,Data Scientist,170000,170000
2023,SE,FT,Data Scientist,135000,135000
2023,SE,FT,Data Scientist,175000,175000
2023,SE,FT,Data Scientist,145000,145000
2023,SE,FT,Data Scientist,199000,199000
2023,SE,FT,Data Scientist,162000,162000
2023,SE,FT,Data Scientist,175000,175000
2023,SE,FT,Data Scientist,100000,100000
2023,SE,FT,Data Scientist,245000,245000
2023,SE,FT,Data Scientist,180000,180000
2023,SE,FT,Data Scientist,210000,210000
2023,SE,FT,Data Scientist,155000,155000
2023,SE,FT,Data Scientist,165000,165000
2023,SE,FT,Data Scientist,140000,140000
2023,EN,FT,Data Scientist,70000,51753
2023,EN,FT,Data Scientist,130001,130001
2023,EN,FT,Data Scientist,71907,71907
2023,MI,FT,Data Scientist,93918,93918
2023,MI,FT,Data Scientist,51962,51962
2023,SE,FT,Data Scientist,203000,203000
2023,SE,FT,Data Scientist,133200,133200
2023,SE,FT,Data Scientist,185900,185900
2023,SE,FT,Data Scientist,129300,129300
2023,SE,FT,Data Scientist,238000,238000
2023,SE,FT,Data Scientist,156000,156000
2023,SE,FT,Data Scientist,140000,140000
2023,SE,FT,Data Scientist,110000,110000
2023,SE,FT,Data Scientist,157750,157750
2023,SE,FT,Data Scientist,104650,104650
2023,MI,FT,Data Scientist,180000,180000
2023,MI,FT,Data Scientist,140000,140000
2023,EX,FT,Data Scientist,200000,200000
2023,EX,FT,Data Scientist,145000,145000
2023,SE,FT,Data Scientist,45000,48289
2023,SE,FT,Data Scientist,36000,38631
2023,SE,FT,Data Scientist,252000,252000
2023,SE,FT,Data Scientist,154000,154000
2023,SE,FT,Data Scientist,191765,191765
2023,SE,FT,Data Scientist,134236,134236
2023,SE,FT,Data Scientist,175000,175000
2023,SE,FT,Data Scientist,145000,145000
2023,SE,FT,Data Scientist,237000,237000
2023,SE,FT,Data Scientist,145000,145000
2023,SE,FT,Data Scientist,200000,200000
2023,SE,FT,Data Scientist,170000,170000
2023,SE,FT,Data Scientist,171250,171250
2023,SE,FT,Data Scientist,113750,113750
2023,SE,FT,Data Scientist,258000,258000
2023,SE,FT,Data Scientist,190000,190000
2023,SE,FT,Data Scientist,170000,170000
2023,SE,FT,Data Scientist,135000,135000
2023,SE,FT,Data Scientist,195000,195000
2023,SE,FT,Data Scientist,160000,160000
